"iso_3","country","year","waverage"
"EST","Estonia","2021",1
"LVA","Latvia","2021",1
"LTU","Lithuania","2021",0.882106025809717
"HRV","Croatia","2021",0.871574911544551
"ITA","Italy","2021",0.763381255707611
"FRA","France","2021",0.74191727598612
"SVK","Slovakia","2021",0.739108522904136
"BEL","Belgium","2021",0.737346007053591
"FIN","Finland","2021",0.734223661239462
"CZE","Czechia","2021",0.732900982622489
"AUT","Austria","2021",0.731752559386399
"PRT","Portugal","2021",0.725795093032973
"LUX","Luxembourg","2021",0.710651118374072
"SWE","Sweden","2021",0.703287277929963
"DNK","Denmark","2021",0.681809865085748
"DEU","Germany","2021",0.662911974531595
"ROU","Romania","2021",0.658026983245536
"SVN","Slovenia","2021",0.653206294653551
"MLT","Malta","2021",0.64669974660385
"IRL","Ireland","2021",0.639369933156099
"CYP","Cyprus","2021",0.63144478133936
"GRC","Greece","2021",0.63144478133936
"NLD","Netherlands","2021",0.626344411893008
"ESP","Spain","2021",0.613114752512167
"POL","Poland","2021",0.593159040099005
"HUN","Hungary","2021",0.58335102376213
"CCTB","CCTB","2021",0.673
